batch_size,num_workers,shuffle,pin_memory,use_gpu,total_time,data_load_time_avg,data_load_time_count,DM_run_time_avg,DM_run_time_count
1,0,True,True,True,110.4054262638092,0.008257858657836913,10000,0.0027826839685440065,10000
1,0,True,True,False,230.4002022743225,0.014161986112594605,10000,0.008878034114837646,10000
1,0,True,False,True,109.11456894874573,0.008216965866088867,10000,0.0026944910287857054,10000
1,0,True,False,False,231.9484875202179,0.01423307991027832,10000,0.008961768841743468,10000
1,1,True,True,True,109.72399997711182,0.008037947487831116,10000,0.002934452509880066,10000
1,1,True,True,False,218.83373713493347,0.008461584758758545,10000,0.013421788954734802,10000
1,1,True,False,True,108.25677919387817,0.007836539077758789,10000,0.0029891388416290283,10000
1,1,True,False,False,207.24690294265747,0.010208639335632324,10000,0.010516050958633423,10000
1,2,True,True,True,66.84576082229614,0.0025118637323379516,10000,0.004172712349891663,10000
1,2,True,True,False,260.1784930229187,0.0003645132303237915,10000,0.02565333607196808,10000
1,2,True,False,True,54.704291582107544,0.0025327134132385252,10000,0.002937715744972229,10000
1,2,True,False,False,259.3056457042694,0.003423051404953003,10000,0.022507513165473936,10000
1,4,True,True,True,49.04513216018677,0.00018719022274017334,10000,0.004717322993278503,10000
1,4,True,True,False,264.27705907821655,0.0001542304277420044,10000,0.02627347548007965,10000
1,4,True,False,True,52.698450803756714,0.002102500915527344,10000,0.0031673441648483276,10000
1,4,True,False,False,258.2085554599762,0.003535799980163574,10000,0.022285055565834044,10000
1,8,True,True,True,47.70666861534119,0.00010850358009338378,10000,0.004662163281440735,10000
1,8,True,True,False,263.1154839992523,0.0001775031328201294,10000,0.026134045267105104,10000
1,8,True,False,True,52.81372880935669,0.0021638803958892823,10000,0.0031174924850463867,10000
1,8,True,False,False,260.75089144706726,0.003452290654182434,10000,0.02262279849052429,10000
2,0,True,True,True,108.95346236228943,0.016353096437454223,5000,0.005437596035003662,5000
2,0,True,True,False,234.93620324134827,0.028590675926208495,5000,0.018396564722061158,5000
2,0,True,False,True,107.82075548171997,0.016084310054779054,5000,0.005479841041564942,5000
2,0,True,False,False,235.76123142242432,0.028657347297668456,5000,0.018494898986816406,5000
2,1,True,True,True,96.83689260482788,0.013723428297042846,5000,0.005643950223922729,5000
2,1,True,True,False,211.87181067466736,0.01676668815612793,5000,0.02560767397880554,5000
2,1,True,False,True,95.07218408584595,0.013366025018692017,5000,0.005648411798477173,5000
2,1,True,False,False,185.49168252944946,0.015626312971115112,5000,0.02147202353477478,5000
2,2,True,True,True,53.628926038742065,0.003941732263565064,5000,0.006784052944183349,5000
2,2,True,True,False,201.15598678588867,0.0010991840362548828,5000,0.03913201332092285,5000
2,2,True,False,True,51.33482480049133,0.004472133255004883,5000,0.005794831705093384,5000
2,2,True,False,False,229.6532814502716,0.003532494497299194,5000,0.04239816179275513,5000
2,4,True,True,True,39.605045557022095,0.00012220578193664552,5000,0.007798803329467773,5000
2,4,True,True,False,216.11031556129456,0.00021884074211120605,5000,0.043003222370147705,5000
2,4,True,False,True,44.03792905807495,0.002276561212539673,5000,0.006531024599075317,5000
2,4,True,False,False,233.7827591896057,0.0036474629878997804,5000,0.04310908885002136,5000
2,8,True,True,True,39.808186054229736,0.0001585017204284668,5000,0.00780313549041748,5000
2,8,True,True,False,220.51092219352722,0.00023686037063598632,5000,0.04386532406806946,5000
2,8,True,False,True,43.42929768562317,0.0022906662464141844,5000,0.006395193290710449,5000
2,8,True,False,False,233.1286392211914,0.003610825824737549,5000,0.043014902019500735,5000
4,0,True,True,True,107.74486589431763,0.032424725437164306,2500,0.010673220920562745,2500
4,0,True,True,False,229.70181322097778,0.056592992877960206,2500,0.03528773241043091,2500
4,0,True,False,True,106.49208974838257,0.03185760917663574,2500,0.010739226722717285,2500
4,0,True,False,False,226.1425075531006,0.05586996278762817,2500,0.03458704023361206,2500
4,1,True,True,True,88.44605445861816,0.024564752864837648,2500,0.01081366891860962,2500
4,1,True,True,False,175.63286185264587,0.03216711721420288,2500,0.03808602752685547,2500
4,1,True,False,True,88.90806126594543,0.02463352518081665,2500,0.010929699325561523,2500
4,1,True,False,False,163.93957901000977,0.023734226131439207,2500,0.0418416054725647,2500
4,2,True,True,True,46.61470413208008,0.006673955249786377,2500,0.011971926403045655,2500
4,2,True,True,False,160.1170790195465,0.0009573211669921875,2500,0.06308951044082642,2500
4,2,True,False,True,48.6684250831604,0.007762207794189453,2500,0.011705162239074708,2500
4,2,True,False,False,162.3488748073578,0.005722805786132813,2500,0.0592167441368103,2500
4,4,True,True,True,36.24816966056824,0.0001940910339355469,2500,0.014305176830291748,2500
4,4,True,True,False,178.08393168449402,0.00028334646224975585,2500,0.07095022621154785,2500
4,4,True,False,True,40.19885730743408,0.0025964385032653807,2500,0.013483104419708252,2500
4,4,True,False,False,177.57140278816223,0.004898651885986328,2500,0.06612990922927857,2500
4,8,True,True,True,35.524736404418945,0.00024556655883789064,2500,0.013964328002929688,2500
4,8,True,True,False,173.50918173789978,0.00033983278274536135,2500,0.06906383991241455,2500
4,8,True,False,True,37.27557611465454,0.002481666374206543,2500,0.012428564071655273,2500
4,8,True,False,False,174.93004298210144,0.0043658736228942875,2500,0.06560614356994629,2500
8,0,True,True,True,109.7743010520935,0.06724769706726075,1250,0.020571743774414064,1250
8,0,True,True,False,226.5567467212677,0.11443701648712158,1250,0.06680838088989258,1250
8,0,True,False,True,106.38211822509766,0.064380592918396,1250,0.02072510166168213,1250
8,0,True,False,False,226.2031626701355,0.11341761569976806,1250,0.06754491443634034,1250
8,1,True,True,True,82.84204769134521,0.04542082424163818,1250,0.02085281391143799,1250
8,1,True,True,False,172.38100171089172,0.04313342380523682,1250,0.09477137756347656,1250
8,1,True,False,True,83.0393443107605,0.04535215320587158,1250,0.021079322242736818,1250
8,1,True,False,False,185.56233739852905,0.05256378498077392,1250,0.09588608493804932,1250
8,2,True,True,True,42.71427059173584,0.012415867424011231,1250,0.021755549049377442,1250
8,2,True,True,False,137.23551988601685,0.0015863998413085938,1250,0.10820201606750489,1250
8,2,True,False,True,44.29934239387512,0.01264299259185791,1250,0.022796481323242187,1250
8,2,True,False,False,159.50213837623596,0.005622249603271484,1250,0.12197946109771729,1250
8,4,True,True,True,34.33601999282837,0.0003171072006225586,1250,0.027151708793640136,1250
8,4,True,True,False,169.79567050933838,0.0004082368850708008,1250,0.1354282995223999,1250
8,4,True,False,True,36.516443490982056,0.0028054548263549803,1250,0.026407699966430664,1250
8,4,True,False,False,155.9964861869812,0.004821608924865723,1250,0.11997558002471924,1250
8,8,True,True,True,33.19097590446472,0.00041208877563476563,1250,0.02614069194793701,1250
8,8,True,True,False,165.90642166137695,0.0005007808685302735,1250,0.1322243564605713,1250
8,8,True,False,True,34.90233540534973,0.002867906951904297,1250,0.025053961372375488,1250
8,8,True,False,False,157.83445477485657,0.004849226570129394,1250,0.12141833724975586,1250
16,0,True,True,True,104.69015741348267,0.1274739547729492,625,0.040030297088623046,625
16,0,True,True,False,224.35421895980835,0.20821431083679198,625,0.15075243949890138,625
16,0,True,False,True,104.56200551986694,0.12712797966003417,625,0.04017122917175293,625
16,0,True,False,False,216.98119235038757,0.20678479957580567,625,0.14038510818481445,625
16,1,True,True,True,80.90514087677002,0.08863982658386231,625,0.04080839881896973,625
16,1,True,True,False,172.12778735160828,0.0791455623626709,625,0.19625889739990235,625
16,1,True,False,True,80.52490282058716,0.08787413635253906,625,0.04096570816040039,625
16,1,True,False,False,170.4236283302307,0.07879118309020997,625,0.19388662223815917,625
